"id","round","game_date","venue_id","home_team_id","away_team_id","season_year","afltables_game_id","home_score_str","away_score_str","home_score_goals","home_score_behinds","home_score_total","away_score_goals","away_score_behinds","away_score_total","margin","home_result","away_result"
13518,"RQF","2010-09-03",4,20710,20709,2010,13754,"11.13.79","12.11.83",11,13,79,12,11,83,4,"L","W"
13519,"REF","2010-09-04",1325,20986,20433,2010,13755,"14.10.94","8.16.64",14,10,94,8,16,64,30,"W","L"
13520,"RQF","2010-09-04",4,20158,20802,2010,13756,"17.22.124","8.14.62",17,22,124,8,14,62,62,"W","L"
13521,"REF","2010-09-05",1321,19882,19974,2010,13757,"14.15.99","13.16.94",14,15,99,13,16,94,5,"W","L"
13522,"RSF","2010-09-10",4,20710,20986,2010,13758,"20.15.135","10.6.66",20,15,135,10,6,66,69,"W","L"
13523,"RSF","2010-09-11",4,20802,19882,2010,13759,"11.11.77","10.12.72",11,11,77,10,12,72,5,"W","L"
13524,"RPF","2010-09-17",4,20158,20710,2010,13760,"18.12.120","11.13.79",18,12,120,11,13,79,41,"W","L"
13525,"RPF","2010-09-18",4,20709,20802,2010,13761,"13.10.88","8.16.64",13,10,88,8,16,64,24,"W","L"
10730,"R5","2011-04-21",2,5,20709,2011,13795,"11.10.76","13.11.89",11,10,76,13,11,89,13,"L","W"
10731,"R5","2011-04-23",1323,20893,20066,2011,13796,"15.11.101","15.14.104",15,11,101,15,14,104,3,"L","W"
10732,"R5","2011-04-23",14,19974,20617,2011,13797,"11.19.85","12.7.79",11,19,85,12,7,79,6,"W","L"
10733,"R5","2011-04-24",14,20525,20065,2011,13798,"14.19.103","17.10.112",14,19,103,17,10,112,9,"L","W"
10734,"R5","2011-04-25",4,20434,20158,2011,13799,"11.11.77","16.11.107",11,11,77,16,11,107,30,"L","W"
10735,"R5","2011-04-25",1325,20986,20802,2011,13800,"12.13.85","11.12.78",12,13,85,11,12,78,7,"W","L"
10736,"R5","2011-04-26",4,20433,20710,2011,13801,"15.8.98","17.15.117",15,8,98,17,15,117,19,"L","W"
10737,"R6","2011-04-28",1325,20894,19881,2011,13802,"15.16.106","6.16.52",15,16,106,6,16,52,54,"W","L"
10738,"R6","2011-04-29",1,19882,19974,2011,13803,"10.11.71","12.15.87",10,11,71,12,15,87,16,"L","W"
10739,"R6","2011-04-30",14,20525,20893,2011,13804,"18.25.133","10.13.73",18,25,133,10,13,73,60,"W","L"
10740,"R6","2011-04-30",4,20065,5,2011,13805,"18.16.124","14.14.98",18,16,124,14,14,98,26,"W","L"
10741,"R6","2011-04-30",1323,20617,20709,2011,13806,"13.12.90","9.17.71",13,12,90,9,17,71,19,"W","L"
10742,"R6","2011-05-01",14,20434,20066,2011,13807,"31.11.197","8.10.58",31,11,197,8,10,58,139,"W","L"
10743,"R6","2011-05-01",4,20158,20802,2011,13808,"15.15.105","8.9.57",15,15,105,8,9,57,48,"W","L"
10699,"R1","2011-03-24",4,19974,20065,2011,13764,"14.20.104","13.6.84",14,20,104,13,6,84,20,"W","L"
10700,"R1","2011-03-25",4,20710,20709,2011,13765,"6.12.48","6.11.47",6,12,48,6,11,47,1,"W","L"
10701,"R1","2011-03-26",14,20158,20893,2011,13766,"24.11.155","12.8.80",24,11,155,12,8,80,75,"W","L"
10702,"R1","2011-03-26",1323,20617,20433,2011,13767,"16.9.105","12.13.85",16,9,105,12,13,85,20,"W","L"
10703,"R1","2011-03-26",2,5,20986,2011,13768,"14.8.92","13.16.94",14,8,92,13,16,94,2,"L","W"
10744,"R7","2011-05-06",1323,20893,20433,2011,13809,"10.12.72","15.14.104",10,12,72,15,14,104,32,"L","W"
10745,"R7","2011-05-07",225,20802,19882,2011,13810,"10.5.65","10.13.73",10,5,65,10,13,73,8,"L","W"
10746,"R7","2011-05-07",7,20710,20525,2011,13811,"19.13.127","9.7.61",19,13,127,9,7,61,66,"W","L"
10747,"R7","2011-05-07",4,20065,20986,2011,13812,"23.10.148","14.15.99",23,10,148,14,15,99,49,"W","L"
10748,"R7","2011-05-07",2,20066,5,2011,13813,"18.16.124","17.14.116",18,16,124,17,14,116,8,"W","L"
10749,"R7","2011-05-08",14,20434,20894,2011,13814,"16.10.106","12.18.90",16,10,106,12,18,90,16,"W","L"
10750,"R7","2011-05-08",4,19881,20617,2011,13815,"22.17.149","8.5.53",22,17,149,8,5,53,96,"W","L"
10751,"R7","2011-05-09",14,20709,19974,2011,13816,"12.9.81","11.18.84",12,9,81,11,18,84,3,"L","W"
10752,"R8","2011-05-13",4,20710,20158,2011,13817,"8.17.65","9.8.62",8,17,65,9,8,62,3,"W","L"
10753,"R8","2011-05-14",14,20525,19881,2011,13818,"19.10.124","12.11.83",19,10,124,12,11,83,41,"W","L"
10754,"R8","2011-05-14",1323,20617,20066,2011,13819,"20.10.130","9.19.73",20,10,130,9,19,73,57,"W","L"
10782,"R11","2011-06-05",14,20525,20617,2011,13847,"18.7.115","10.8.68",18,7,115,10,8,68,47,"W","L"
10783,"R11","2011-06-05",1323,20893,19974,2011,13848,"7.7.49","16.15.111",7,7,49,16,15,111,62,"L","W"
10784,"R12","2011-06-10",14,20709,20802,2011,13849,"12.9.81","8.9.57",12,9,81,8,9,57,24,"W","L"
